variable,coef,se,ci_lo,ci_hi,event_time,outcome
et_9,-1.0309038345407047,0.14040268182761415,-1.3060930909228283,-0.755714578158581,9.0,death_rate
et_10,-1.0367958127226151,0.11802596810047383,-1.2681267101995437,-0.8054649152456864,10.0,death_rate
et_11,-0.6230521166263258,0.11108894938470738,-0.8407864574203522,-0.40531777583229933,11.0,death_rate
et_12,-0.7307811978750828,0.1213352171553774,-0.9685982234996224,-0.49296417225054306,12.0,death_rate
et_13,-0.6149314627631781,0.12696375045850883,-0.8637804136618554,-0.3660825118645008,13.0,death_rate
et_14,-0.5367072661633148,0.14281875907375252,-0.8166320339478697,-0.2567824983787598,14.0,death_rate
et_15,-0.27369932038405664,0.11584946746569479,-0.5007642766168184,-0.04663436415129488,15.0,death_rate
et_16,-0.3235093313633101,0.11014849004143644,-0.5394003718445255,-0.10761829088209471,16.0,death_rate
et_17,-0.25909088071575576,0.11982217431473727,-0.4939423423726408,-0.024239419058870726,17.0,death_rate
et_18,-0.26424101130995997,0.10326379423769812,-0.4666380480158483,-0.06184397460407168,18.0,death_rate
et_19,-0.09451150967462853,0.0796463727054183,-0.2506184001772484,0.06159538082799133,19.0,death_rate
et_20,-0.03263850239420803,0.09237926688572225,-0.21370186549022363,0.14842486070180755,20.0,death_rate
